RVIN, 20, 3
Hood, 20, 10
COIN, 8, 10
BYND, 5, 2
Aal, 2, 2
aapl, 7, 25
adbe, 12, 25
amat, 10, 25
amd, 15, 10
amzn, 20, 5
axp, 9, 14
ba, 3, 2
baba, 10, 8
bac, 10, 25
bird, 8, 5
bud, 10, 9
bynd, -2, 3
c, 0, 20
ccl, 10, 2
celh, 15, 10
cmg, 20, 13
coin, 8, 10
cost, 12, 3
cvs, 5, 2
cvx, 2, 10
dal, 3, 8
dis, 6, 3
dkng, 20, 10
dpz, 8, 12
gtim, 8, 5
hood, 20, 10
intc, 5, 25
jpm, 7, 30
khc, 3, 10
ko, 5, 23
kodk, 3, 7
lmt, 1, 15
lrcx, 12, 25
luv, 3, 2
ma, 12, 45
meta, 6, 30
mrna, 8, 10
msft, 16, 35
mu, 12, 20
nclh, 11, 4
net, 20, 20
nflx, 11, 14
noc, 2, 10
nvda, 15, 20
orcl, 13, 25
penn, 3, 8
peri, 4, 15
pfe, 2, 10
pins, 11, 8
pltr, 15, 10
pypl, 14, 14
rcl, 10, 12
rddt, 10, 10
rivn, 20, 8
rtx, 10, 5
save, 8, 5
sbux, 12, 10
schw, 5, 30
shop, 14, 10
snap, 5, 10
spot, 9, 10
tgt, 4, 4
tsla, 20, 8
tsm, 5, 40
tsn, 3, 5
ual, 2, 7
uber, 14, 15
ups, 5, 8
v, 12, 50
vlo, 2, 6
vrsn, 3, 55
vz, 1, 15
wmt, 4, 2
xom, 2, 14
